[04/14/18 22:57:01] http-server.c(161): fileserver: worker_threads = 10
[04/14/18 22:57:01] http-server.c(176): fileserver: fixed_block_size = 8388608
[04/14/18 22:57:01] http-server.c(191): fileserver: web_token_expire_time = 3600
[04/14/18 22:57:01] http-server.c(206): fileserver: max_indexing_threads = 1
[04/14/2018 10:57:01 PM] ../common/mq-mgr.c(54): [mq client] mq cilent is started
[04/14/2018 10:57:03 PM] size-sched.c(96): Repo size compute queue size is 0
[04/14/2018 11:02:03 PM] size-sched.c(96): Repo size compute queue size is 0
[04/14/2018 11:07:03 PM] size-sched.c(96): Repo size compute queue size is 0
[04/14/2018 11:12:03 PM] size-sched.c(96): Repo size compute queue size is 0
[04/14/2018 11:17:03 PM] size-sched.c(96): Repo size compute queue size is 0
[04/14/2018 11:22:03 PM] size-sched.c(96): Repo size compute queue size is 0
[04/14/2018 11:27:03 PM] size-sched.c(96): Repo size compute queue size is 0
[04/14/2018 11:32:03 PM] size-sched.c(96): Repo size compute queue size is 0
[04/14/2018 11:37:03 PM] size-sched.c(96): Repo size compute queue size is 0
[04/14/2018 11:42:03 PM] size-sched.c(96): Repo size compute queue size is 0
[04/14/2018 11:47:03 PM] size-sched.c(96): Repo size compute queue size is 0
[04/14/2018 11:52:03 PM] size-sched.c(96): Repo size compute queue size is 0
[04/14/2018 11:57:03 PM] size-sched.c(96): Repo size compute queue size is 0
[04/15/2018 12:02:03 AM] size-sched.c(96): Repo size compute queue size is 0
[04/15/2018 12:07:03 AM] size-sched.c(96): Repo size compute queue size is 0
[04/15/2018 12:12:03 AM] size-sched.c(96): Repo size compute queue size is 0
[04/15/2018 12:17:03 AM] size-sched.c(96): Repo size compute queue size is 0
[04/15/2018 12:22:03 AM] size-sched.c(96): Repo size compute queue size is 0
[04/15/2018 12:27:03 AM] size-sched.c(96): Repo size compute queue size is 0
[04/15/2018 12:32:03 AM] size-sched.c(96): Repo size compute queue size is 0
[04/15/2018 12:37:03 AM] size-sched.c(96): Repo size compute queue size is 0
[04/15/2018 12:42:03 AM] size-sched.c(96): Repo size compute queue size is 0
[04/15/2018 12:47:03 AM] size-sched.c(96): Repo size compute queue size is 0
[04/15/2018 12:52:03 AM] size-sched.c(96): Repo size compute queue size is 0
[04/15/2018 12:57:03 AM] size-sched.c(96): Repo size compute queue size is 0
[04/15/2018 01:02:03 AM] size-sched.c(96): Repo size compute queue size is 0
[04/15/2018 01:07:03 AM] size-sched.c(96): Repo size compute queue size is 0
[04/15/2018 01:12:03 AM] size-sched.c(96): Repo size compute queue size is 0
[04/15/2018 01:17:03 AM] size-sched.c(96): Repo size compute queue size is 0
